No.,Items1,Items2,Items3,Items4,Items5,Items6,Items7,Items8,Items9,,,,,,,,,,,,,,,,,,,,,,,
25,Kroket,Apem,Sosis_solo,Lemper,Maffin,EsKopi_botol,Donat,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
26,EsKopi_botol,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Kroket,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Arem_arem,Apem,RotiManis_Keju,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Camilan_khas_pati,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Kue_Kering,EsCoklat_botol,Donat,Kroket,Kue_lumpur,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Kroket,EsCoklat_botol,Roti_Tawar,Kue_Kering,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,RotiManis_Keju,Lemper,Camilan_khas_pati,Kue_Kering,EsCoklat_botol,Arem_arem,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
33,Kue_lumpur,Kroket,EsCoklat_botol,Donat,Brownies,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Sosis_solo,EsCoklat_botol,RotiManis_Selai,Maffin,Brownies,Arem_arem,Donat,Kroket,,,,,,,,,,,,,,,,,,,,,,,,
35,Bollen_pisang,Kue_Kering,Apem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Risoles,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,RotiManis_Keju,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Brownies,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Kue_lumpur,Kroket,EsCoklat_botol,RotiManis_Selai,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Bollen_pisang,Kue_Kering,Sosis_solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Arem_arem,Apem,RotiManis_Keju,Kroket,Maffin,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Kroket,Apem,EsCoklat_botol,Maffin,RotiManis_Keju,Arem_arem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
43,Bollen_pisang,Kue_Kering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Brownies,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Kue_Kering,EsKopi_botol,RotiManis_Keju,Arem_arem,Maffin,Sosis_solo,Donat,Kroket,,,,,,,,,,,,,,,,,,,,,,,,
46,EsKopi_botol,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Risoles,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Kue_lumpur,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Risoles,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Kue_lumpur,Kroket,Maffin,RotiManis_Selai,Brownies,EsKopi_botol,Donat,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
51,Arem_arem,Apem,Lemper,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Brownies,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,RotiManis_Keju,RotiManis_Coklat,Sosis_solo,Maffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Kroket,Donat,Sosis_solo,RotiManis_Selai,RotiManis_Keju,EsCoklat_botol,Kue_Kering,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
55,Kroket,EsKopi_botol,Arem_arem,Kue_lumpur,Maffin,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Kroket,Roti_Tawar,EsCoklat_botol,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Risoles,RotiManis_Coklat,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Kue_lumpur,Sosis_solo,EsCoklat_botol,Risoles,Kroisan,Arem_arem,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
59,RotiManis_Keju,Risoles,EsCoklat_botol,KunirAsem_botol,Maffin,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Kue_lumpur,Kroket,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Camilan_khas_pati,EsCoklat_botol,Donat,Kue_lumpur,Maffin,Arem_arem,Kue_Kering,,,,,,,,,,,,,,,,,,,,,,,,,
62,Arem_arem,Kroket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Arem_arem,Risoles,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Maffin,Donat,Camilan_khas_pati,Roti_Tawar,Brownies,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Kue_lumpur,Kroket,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Kroket,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Kroisan,EsKopi_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Kue_lumpur,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Arem_arem,EsCoklat_botol,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Kroket,Brownies,Bollen_pisang,Maffin,KunirAsem_botol,Arem_arem,Donat,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,
71,Kue_lumpur,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Kroket,Maffin,Risoles,Kue_Kering,Lemper,EsCoklat_botol,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
73,Maffin,Arem_arem,EsCoklat_botol,Brownies,Kue_lumpur,Kroisan,Donat,Kroket,,,,,,,,,,,,,,,,,,,,,,,,
74,Kroket,RotiManis_Keju,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,RotiManis_Coklat,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Camilan_khas_pati,EsCoklat_botol,Kroket,Kue_Kering,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Bollen_pisang,Kue_Kering,RotiManis_Keju,Kroket,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Maffin,Apem,EsCoklat_botol,Lemper,Kroisan,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Misoa,EsCoklat_botol,RotiManis_Keju,Donat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,RotiManis_Coklat,EsKopi_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Roti_Tawar,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Kue_lumpur,EsCoklat_botol,Donat,Brownies,Maffin,Arem_arem,Kue_Kering,Kroket,,,,,,,,,,,,,,,,,,,,,,,,
83,Kue_lumpur,Kroket,KunirAsem_botol,Lemper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,RotiManis_Selai,EsKopi_botol,Donat,Camilan_khas_pati,Kue_lumpur,Arem_arem,Kue_Kering,,,,,,,,,,,,,,,,,,,,,,,,,
85,EsKopi_botol,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Arem_arem,Apem,Sosis_solo,Maffin,Lemper,EsCoklat_botol,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
87,EsKopi_botol,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Sosis_solo,Kroket,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Bollen_pisang,Kue_Kering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Lemper,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,RotiManis_Keju,Apem,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Bollen_pisang,Kue_Kering,EsCoklat_botol,RotiManis_Selai,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Sosis_solo,RotiManis_Coklat,Kue_lumpur,Donat,Misoa,EsKopi_botol,Kue_Kering,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
95,Kroisan,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,RotiManis_Keju,Lemper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Arem_arem,Sosis_solo,Camilan_khas_pati,Roti_Tawar,KunirAsem_botol,Apem,Donat,Kroket,,,,,,,,,,,,,,,,,,,,,,,,
98,Roti_Tawar,RotiManis_Coklat,Kue_lumpur,Kue_Kering,Maffin,KunirAsem_botol,Donat,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
99,Kroket,EsKopi_botol,Maffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bollen_pisang,Kue_Kering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Lemper,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Arem_arem,Kroket,Donat,Maffin,Sosis_solo,KunirAsem_botol,Kue_Kering,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
103,Maffin,Apem,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Arem_arem,EsCoklat_botol,Kroisan,EsKopi_botol,KunirAsem_botol,Apem,Donat,Kroket,,,,,,,,,,,,,,,,,,,,,,,,
105,Lemper,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Kue_lumpur,RotiManis_Coklat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Bollen_pisang,Kue_Kering,Brownies,Risoles,EsCoklat_botol,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Kroket,Risoles,Camilan_khas_pati,Arem_arem,Brownies,EsCoklat_botol,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
109,Sosis_solo,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Kroket,Brownies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Maffin,Apem,Camilan_khas_pati,Misoa,Lemper,KunirAsem_botol,Donat,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
112,Risoles,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Kroket,Roti_Tawar,Donat,Risoles,Kue_lumpur,EsCoklat_botol,Kue_Kering,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
114,Bollen_pisang,Kue_Kering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Bollen_pisang,Kue_Kering,EsCoklat_botol,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Kroket,EsCoklat_botol,Kroisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,RotiManis_Keju,EsCoklat_botol,Donat,Risoles,Kroisan,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
118,RotiManis_Keju,Lemper,EsCoklat_botol,Risoles,RotiManis_Coklat,Arem_arem,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
119,Kroket,Roti_Tawar,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Maffin,Kroket,Sosis_solo,Roti_Tawar,EsKopi_botol,Arem_arem,Donat,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,
121,Maffin,Apem,Risoles,Kue_Kering,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Risoles,Roti_Tawar,RotiManis_Keju,Kroket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Risoles,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Camilan_khas_pati,Sosis_solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Risoles,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Maffin,Apem,Kue_lumpur,Kue_Kering,Misoa,EsKopi_botol,Donat,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
127,Misoa,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Misoa,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Arem_arem,KunirAsem_botol,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Kroisan,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Maffin,Roti_Tawar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Kroket,EsKopi_botol,Roti_Tawar,Sosis_solo,Maffin,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Risoles,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Bollen_pisang,Kue_Kering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Kroisan,Kroket,Risoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Kroket,Brownies,EsKopi_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Lemper,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Kue_lumpur,Kroisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Brownies,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Brownies,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Maffin,Apem,EsCoklat_botol,Risoles,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Camilan_khas_pati,RotiManis_Keju,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Kroket,RotiManis_Coklat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Kroket,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Bollen_pisang,Kue_Kering,RotiManis_Keju,Maffin,Kue_lumpur,EsKopi_botol,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
146,Maffin,Apem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Maffin,KunirAsem_botol,Arem_arem,Misoa,Brownies,Sosis_solo,Donat,Kroket,,,,,,,,,,,,,,,,,,,,,,,,
148,Kue_Kering,EsKopi_botol,KunirAsem_botol,Camilan_khas_pati,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,RotiManis_Keju,Arem_arem,Sosis_solo,Risoles,EsCoklat_botol,Brownies,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Risoles,Kroket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Camilan_khas_pati,EsCoklat_botol,Risoles,Kroket,Kroisan,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Arem_arem,Kroket,Kue_lumpur,RotiManis_Selai,Brownies,EsKopi_botol,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
153,Kue_lumpur,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,RotiManis_Keju,Lemper,Misoa,RotiManis_Coklat,EsKopi_botol,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Kue_lumpur,Kroket,EsCoklat_botol,Maffin,Kroisan,Arem_arem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
156,EsKopi_botol,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Sosis_solo,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Kroket,Apem,Arem_arem,Donat,Maffin,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Kroket,Brownies,Sosis_solo,Maffin,Lemper,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Bollen_pisang,Kue_Kering,Donat,EsKopi_botol,KunirAsem_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Kroket,Maffin,Apem,Risoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Maffin,EsCoklat_botol,Lemper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Kroket,RotiManis_Selai,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Brownies,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Maffin,Kroket,Donat,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,EsCoklat_botol,Risoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,RotiManis_Keju,Apem,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Kroket,Brownies,Risoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Maffin,Lemper,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Camilan_khas_pati,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,RotiManis_Keju,Donat,Sosis_solo,Maffin,Brownies,EsCoklat_botol,Kue_Kering,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
172,Camilan_khas_pati,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Kroisan,KunirAsem_botol,Kue_lumpur,Camilan_khas_pati,Misoa,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,EsCoklat_botol,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Kroisan,Roti_Tawar,RotiManis_Keju,Camilan_khas_pati,Brownies,EsCoklat_botol,Donat,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,
176,Kroket,Roti_Tawar,Arem_arem,RotiManis_Selai,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Kroket,Apem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Kroisan,EsKopi_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Arem_arem,Sosis_solo,EsKopi_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Camilan_khas_pati,EsCoklat_botol,Kroisan,RotiManis_Selai,Maffin,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,RotiManis_Keju,EsCoklat_botol,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Camilan_khas_pati,Kroisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Camilan_khas_pati,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Lemper,EsCoklat_botol,Kroisan,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,RotiManis_Selai,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Maffin,KunirAsem_botol,EsCoklat_botol,Kue_lumpur,Lemper,Arem_arem,Donat,Camilan_khas_pati,,,,,,,,,,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles,,,,,,,,,
187,Kue_lumpur,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Kroisan,Roti_Tawar,RotiManis_Keju,Maffin,EsKopi_botol,Arem_arem,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
189,Maffin,Donat,EsCoklat_botol,Kue_Kering,Kue_lumpur,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Camilan_khas_pati,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Roti_Tawar,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Misoa,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Kroisan,Apem,Risoles,RotiManis_Selai,Maffin,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Maffin,Apem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Lemper,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Bollen_pisang,Kue_Kering,Camilan_khas_pati,Maffin,RotiManis_Keju,EsKopi_botol,Donat,,,,,,,,,,,,,,,,,,,,,,,,,
197,Brownies,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Sosis_solo,Risoles,Arem_arem,KunirAsem_botol,Brownies,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Maffin,Arem_arem,EsCoklat_botol,Roti_Tawar,Brownies,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Arem_arem,EsCoklat_botol,Risoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Brownies,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Misoa,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Kroisan,Apem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Brownies,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Kroket,EsCoklat_botol,Sosis_solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Kue_lumpur,Lemper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Sosis_solo,Apem,RotiManis_Selai,Maffin,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Bollen_pisang,Kue_Kering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Sosis_solo,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Kue_lumpur,Kroket,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Kue_Kering,EsKopi_botol,Roti_Tawar,Camilan_khas_pati,Kue_lumpur,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
212,EsKopi_botol,Kroisan,Kroisan,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Arem_arem,Kroket,EsCoklat_botol,Camilan_khas_pati,Maffin,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Kroket,EsCoklat_botol,Kroisan,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Arem_arem,Kroket,Brownies,Maffin,Sosis_solo,EsKopi_botol,,,,,,,,,,,,,,,,,,,,,,,,,,
216,EsCoklat_botol,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,EsCoklat_botol,RotiManis_Selai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,EsKopi_botol,RotiManis_Coklat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Risoles,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Bollen_pisang,Kue_Kering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Arem_arem,EsCoklat_botol,Sosis_solo,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Risoles,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Arem_arem,Risoles,Kue_lumpur,Misoa,Brownies,EsCoklat_botol,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
224,Risoles,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Kroket,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Arem_arem,Sosis_solo,Camilan_khas_pati,Misoa,EsCoklat_botol,Apem,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Risoles,Roti_Tawar,EsCoklat_botol,Kroket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Maffin,RotiManis_Keju,EsCoklat_botol,Kue_lumpur,Misoa,Arem_arem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
229,Donat,Apem,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Brownies,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Kroket,EsCoklat_botol,Camilan_khas_pati,Misoa,Kroisan,Arem_arem,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Risoles,Arem_arem,Sosis_solo,RotiManis_Selai,RotiManis_Keju,EsCoklat_botol,Donat,Kroket,,,,,,,,,,,,,,,,,,,,,,,,
233,Kroket,RotiManis_Keju,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
